Braquage,Les Enfants de Pandore,"Un groupe d'ami.e.s, ce qui les rassemble, ce qui les écarte, leurs chemins de vie",https://www.facebook.com/events/1829733197096694/,6€,x,mar. 1 mai 2018,Quelques heures,59,,"87 bis Rue Saint-André, 59800 Lille, France"
Braquage,Les Enfants de Pandore,"Un groupe d'ami.e.s, ce qui les rassemble, ce qui les écarte, leurs chemins de vie",https://www.facebook.com/events/1829733197096694/,6€,x,mer. 9 mai 2018,Quelques heures,59,,"87 bis Rue Saint-André, 59800 Lille, France"
Dreyfus - L'Odieuse Vérité,Les Ecuries d'Augias,Procès d'Emile Zola dans l'Affaire Dreyfus en 1898 - contexte historique antisémite,https://www.facebook.com/events/107531520114820,10€,x,sam. 12 mai 2018,Quelques heures,25,,"96 Grande Rue, 25000 Besançon, France"
Braquage,Les Enfants de Pandore,"Un groupe d'ami.e.s, ce qui les rassemble, ce qui les écarte, leurs chemins de vie",https://www.facebook.com/events/1829733197096694/,6€,x,dim. 13 mai 2018,Quelques heures,59,,"87 bis Rue Saint-André, 59800 Lille, France"
L'Algue Verte,Les Enfants de Pandore,Murder Party,https://www.facebook.com/events/1597750900323901/permalink/1611347975630860/,11€,1€,sam. 26 mai 2018,Quelques heures,59,,"87 bis Rue Saint-André, 59800 Lille, France"
Hydre Omel - Vautours,Hydre Omel,"Univers des Terres Levantines, inspiré par de nombreuses BD (https://www.hydre-omel.com/inspirations)",https://www.hydre-omel.com/,125€,35€,ven. 1 juin 2018,2 ou 3 jours,?,,200km au nord de Paris
"Thédas, le dernier Bastion",Les ForgeMondes,Grandeur Nature médiéval-fantastique en Alsace sur le théme de Dragon Age.,http://gn-thedas.fr,50€,25€,ven. 1 juin 2018,2 ou 3 jours,67,,"Fort Rapp, Rue du Fort, 67116 Reichstett, France"
La pension Saint Sauveur,De Profundis GN,"La vie est calme à la pension Saint Sauveur, petite pension de famille située à proximité des falaises d'Etretat, jusqu'à cette soirée du 7 avril 1933",https://www.facebook.com/groups/154116611402147/permalink/955485921265208/,25€,x,sam. 2 juin 2018,1 journée,62,,"14 rue Pablo Néruda, 62143 Angres, France"
La pension Saint Sauveur,De Profundis GN,"La vie est calme à la pension Saint Sauveur, petite pension de famille située à proximité des falaises d'Etretat, jusqu'à cette soirée du 7 avril 1933",https://www.facebook.com/groups/154116611402147/permalink/955485921265208/,25€,x,sam. 2 juin 2018,1 journée,62,,"7 rue de Guémappe, 62156 Boiry Notre Dame, France"
Just a Little Lovin' Finland,Pohjoismaisen roolipelaamisen seura ry,International Larp (in English),http://www.jall.fi/,?,x,mar. 5 juin 2018,Plus de 3 jours,Finland,,"Länsi-suomen Opistoyhdistys Ry, Aino Voipion tie 30, 32700 Huittinen, Finland"
L'Heure du GN,L'Heure du GN,Rendez-vous amical GNiste à Rennes,https://www.facebook.com/events/1617153478342369/,x,x,jeu. 7 juin 2018,Quelques heures,35,,"L'Heure du Jeu, 11 Boulevard Magenta, 35000 Rennes, France"
Vampire Beyond Heresy & Law Opus 3,Bounty Hunters Legion,3e Opus de la campagne Vampire,https://www.facebook.com/vampirebhl/,70€,x,ven. 8 juin 2018,2 ou 3 jours,89,,"Cafe De La Poèterie, 4 Route des Janets, 89520 Saint-Sauveur-en-Puisaye, France"
FIGHT LIKE A GIRL,Independant,"Fight Like A Girl is about identity, group dynamics and relationships, about difficult situations and impossible decisions. These elements tell people’s history of all times, here in a setting of war against oppression.",https://flaglarp.wordpress.com,82€,x,ven. 8 juin 2018,2 ou 3 jours,Sweden,,"Norberg, Sweden"
Murder Cabale - Acte I,Forges de Krom,"Murder Cabale des Forges de Krom, 1er Acte d'une série de 4 Murder dans un univers contemporain bien mystérieux. ",https://www.facebook.com/events/434059070369615/,?,?,sam. 9 juin 2018,Quelques heures,81,,"Lieu-dit En Pamios, 81470 Mouzens, France"
Windrose: School of the Secret Arts,Aspamia,International Larp (in English): Your chance to be a wizard or a witch in a magical college,https://www.facebook.com/AspamiaLarp/videos/884305888399438/,?,?,jeu. 14 juin 2018,Plus de 3 jours,Israel,,?
Doléances 1789 session 5,A3DL,"Doléances (du latin dolere) : Souffrir. 
1789 : un peuple au bord d'une révolution",https://www.facebook.com/doleances1789/posts/671997206307405,86€,x,ven. 15 juin 2018,2 ou 3 jours,85,,"Gîte L'Ancienne Ferme, 85450 Chaillé les Marais, France"
Cabaret Cajun,Rôle,"Dans la moiteur du vieux sud, alors que le dix-neuvième siècle touche à sa fin. [...] Relents de bayou, effluves vaudou, fragrances épicées et parfums étranges...",https://grou1.typeform.com/to/x3n2Rz,?,?,ven. 15 juin 2018,2 ou 3 jours,78,,78720 Dampierre-en-Yvelines
"GN ""Un autre monde""",La Compagnie du Yucca,Le GN où vous interprèterez des joueurs de JDR qui vont faire le tout premier GN de France... en 1981 !,https://www.facebook.com/events/194490371107783/,?,?,ven. 15 juin 2018,2 ou 3 jours,33,,33210 Langon
Les Forges du Destin,Club Grabuge de la Maison des Jeunes et de la Culture de Carcassonne ,GN médiéval fantastique,https://www.facebook.com/notes/passion-gn-mjccarcassonne-club-grabuge/jeu-de-rôle-grandeur-nature-les-forges-du-destin/1929159700728455/,75€,15€,ven. 15 juin 2018,2 ou 3 jours,11,,"Domaine Le Picou, 11310 Saissac, France"
Dead Island 2 : Naufrage,Les Crocs de la Tanière,"L’endroit semblait pourtant désert… mais en attendant les secours, les survivants devront lutter contre un ennemi inattendu.",https://www.facebook.com/events/1735361980105090/,31€,15€,sam. 16 juin 2018,2 ou 3 jours,51,,"Fort de Montbré, 51500 Taissy, France"
Barnum à Liberia (Opus 2),Les Traverses ASBL,La petite île de Libéria se prépare doucement au moment le plus important de l’année : l’élection de son nouveau Gouverneur.,https://www.facebook.com/events/145738649567347/,50€,x,sam. 16 juin 2018,1 journée,Belgium,,"Albinusstrasse, B-4784 St Vith"
Salem 1906,Les Enfants de Pandore,"Les procès de sorcières ont eu lieu à Salem, dans le Massachussetts à la fin du XVIIème siècle. ",https://www.facebook.com/events/318062695389314/,15€,x,sam. 16 juin 2018,1 journée,Belgium,,"Meiskensbeekstraat 96, 1851 Grimbergen, Belgium"
Et pour quelques cristaux de plus,L'arpp de Pibrac,Un nouveau gisement de cristaux a été trouvé ! Voilà qui attire l'attention de la plèbe comme des citée-États. Alors que les hommes en quête de gloire et de richesses se précipitent pour revendiquer... ,https://www.facebook.com/events/866203353550572/,18€,0€,sam. 16 juin 2018,1 journée,81,,"Lieu-dit Les Marteilles, 81630 Montdurausse, France"
Ars Magna 19,Independant,,https://docs.google.com/forms/d/e/1FAIpQLSfaHxpgL6wmjgUKWSEAeyksH43tQN_M0jLE6paPa6B22Z_YTg/viewform,50€,35€,sam. 16 juin 2018,2 ou 3 jours,Belgium,,"Marmite, Vieux Chemin de Willems 2, 7501 Tournai, Belgium"
Obscurus Cult,Obscurus NL,"International Larp (in English): Love, Worship, Obey. This is your chance! Experience brainwashing! By a cult! ",https://obscuruscult.wordpress.com,280€,x,mar. 19 juin 2018,Plus de 3 jours,Netherlands,,"V.O.F. De Lindenhorst, Schiphorsterweg 15, 7966 AB De Schiphorst, Netherlands"
New World Magischola,LearnLarp,International Larp (in English): 4-day wizard school larp set in the Magimundi of North America. NWM is a progressive wizard school with less-traditional policies.,www.magischola.com,509€,0€,jeu. 21 juin 2018,Plus de 3 jours,United States,,"Mt. Holyoke College; 50 College St, South Hadley, MA 01075"
human experience,human experience,"International Larp (in English): “Human Experience” is a physical, immersive larp about the sensations we get from movements, touch and senses.",https://www.humanexperience.events,28€,28€,jeu. 21 juin 2018,Quelques heures,United Kingdom,,London
Cabaret Cajun,Rôle,"Dans la moiteur du vieux sud, alors que le dix-neuvième siècle touche à sa fin. [...] Relents de bayou, effluves vaudou, fragrances épicées et parfums étranges...",https://grou1.typeform.com/to/x3n2Rz,?,?,ven. 22 juin 2018,2 ou 3 jours,78,,78720 Dampierre-en-Yvelines
Chilipocras et d'autres machins,Alliance-prod,Rendez-vous amical GNiste près de Belfort,https://www.facebook.com/permalink.php?story_fbid=1975069185855259&id=147817381913791,x,x,sam. 23 juin 2018,2 ou 3 jours,90,,"Fort de Vézelois, Fort Ordener, Rue de Meroux, 90400 Vézelois, France"
Obscurus Cult,Obscurus NL,"International Larp (in English): Love, Worship, Obey. This is your chance! Experience brainwashing! By a cult! ",https://obscuruscult.wordpress.com,280€,x,mar. 26 juin 2018,Plus de 3 jours,Netherlands,,"V.O.F. De Lindenhorst, Schiphorsterweg 15, 7966 AB De Schiphorst, Netherlands"
Memento Mori Version 2,Memento Mori ASBL,"Mai 1938, la Comtesse Grâce du Val de Beaulieu et son frère le baron Adolphe Desmanet de Biesme ont le plaisir de vous inviter à leur Garden-Party en leur domaine champêtre de Brüly-de-Pesche...",https://www.facebook.com/events/1441902855917871/,?,?,mar. 26 juin 2018,2 ou 3 jours,Belgium,,"Brûly-De-Pesche, Namur, Belgium"
Mahoutokoro - Sakura no yume,RAJR,"GN école de sorcellerie, traditions et croyances magiques japonaises. Rythme lent, non-dits, sous-entendus. Des échanges feutrés plutôt qu’une course à la résolution.",http://www.rajr.fr/mahoutokoro/,85€,x,ven. 29 juin 2018,2 ou 3 jours,69,,"Gîte de Gros-Bois (Gîte d'Ouroux), 69860 Ouroux, France"
Mahoutokoro - Sakura no yume,RAJR,"(GN Harry Potter japonais) Mai 2013 : Stage intensif de préparation aux épreuves optionnelles à l'école Mahoutokoro, ceux qui n'ont pas validé leur diplôme et ceux qui cherchent le classement se réunissent...",http://www.rajr.fr/mahoutokoro/,85€,x,ven. 29 juin 2018,2 ou 3 jours,69,,"Gîte de Gros-Bois (Gîte d'Ouroux), 69860 Ouroux, France"
"Terres Sauvages ""La colère de Yasun""",Terres Sauvages,GN Terres Sauvages mediéval fantastique,https://www.facebook.com/events/2539675319592015/,62€,40€,ven. 29 juin 2018,2 ou 3 jours,59,,"Route du Flaumont, 59440 Avesnelles, France"
Nakzar: Le Fléau du Nord,Les ForgeMondes,Med-Fan,https://sites.google.com/site/nakzargn/,20€,15€,sam. 30 juin 2018,1 journée,57,,"Fort Rapp-Moltke, Rue du Fort, 67116 Reichstett, France"
human experience,human experience,"International Larp (in English): “Human Experience” is a physical, immersive larp about the sensations we get from movements, touch and senses.",https://www.humanexperience.events,40€,40€,sam. 30 juin 2018,Quelques heures,United Kingdom,,London
Nuit du Huis-Clos de Nantes,Independant,"Convention, 3 murders",https://www.facebook.com/NdhcNantes/ ,?,?,sam. 30 juin 2018,Quelques heures,44,,"Maison des Jeux de Nantes, 14 rue Michel Rocher, 44200 Nantes, France"
L'Heure du GN,L'Heure du GN,Rendez-vous amical GNiste à Rennes,https://www.facebook.com/events/1617153478342369/,x,x,jeu. 5 juil. 2018,Quelques heures,35,,"L'Heure du Jeu, 11 Boulevard Magenta, 35000 Rennes, France"
Eclypson | Odyssée,Sculpteurs de Rêves, ,http://sculpteursdereves.org/gn-eclypson-2018/,60€,20€,ven. 6 juil. 2018,2 ou 3 jours,10,,"Gîte de Bois Gérard Bois Gérard, 10130 Chessy-les-Prés, France"
Les oubliés des fjords - Session découverte,Gnome Prod & Camp du Dragon,Jeu viking ouvert aux débutant.e.s,https://www.facebook.com/events/1943544382576464/,65€,25€,sam. 7 juil. 2018,2 ou 3 jours,56,,"Escapegame lizio Bretagne, Lieu-dit Le Val Jouin, 56460 Lizio, France"
Camp Aventures,A-Venture,"Camp de vacances comportant 3 GNs, pour débutant ou habitués. ",https://www.facebook.com/aventure.evenements,393€,x,lun. 9 juil. 2018,Plus de 3 jours,Switzerland,,"Ferme de Combe Tabeillon, 2855 Glovelier, Switzerland"
Sunfall 2018,Sunfall,International Larp (in English) : Apocalyptic,https://www.facebook.com/events/1864318543886183/,70€,x,mar. 10 juil. 2018,Plus de 3 jours,Denmark,,"Boesdalsvej 14, 4673 Rødvig Stevns, Denmark"
Kandorya 2018,GN Aventure,Mass Larp médiéval fantastique,https://www.weezevent.com/kandorya-2018,59€,15€,mer. 11 juil. 2018,Plus de 3 jours,49,,"Château de Serrant, 49170 Saint-Georges-sur-Loire, France"
Club Oasis,Independant,International Larp (in English): a blade runner Larp following Where Androids Dream,https://docs.google.com/forms/d/e/1FAIpQLSfzxED4y1pErRwNowSLeKVTEcOQHZynnO8aOsjPYZp68gVOjQ/viewform?edit_requested=true,20€,x,mer. 11 juil. 2018,Quelques heures,Sweden,,Club Oasis
Where Androids Die,Independant,"International Larp (in English): a futuristic dystopian Larp about humanity, its creation and the consequences they have to face (inspiration: blade runner)",http://whereandroidsdie.net,163€,x,ven. 13 juil. 2018,2 ou 3 jours,Sweden,,"3:e Våningen, Sockerbruket 9, 414 51 Göteborg, Sweden"
VFC ARTEMIS Session 1,eXpérience,thriller psychologique battlestar galactica nordique,https://experiencegn.jimdo.com/nos-créations/artemis/,100€,x,sam. 14 juil. 2018,2 ou 3 jours,95,,"95572 Saint-Ouen l'Aumône, France"
Club Oasis,Independant,International Larp (in English): a blade runner Larp following Where Androids Dream,https://docs.google.com/forms/d/e/1FAIpQLSfzxED4y1pErRwNowSLeKVTEcOQHZynnO8aOsjPYZp68gVOjQ/viewform?edit_requested=true,20€,x,mer. 18 juil. 2018,Quelques heures,Sweden,,Club Oasis
Myrddin Emrys College,NPO Out of this World,International Larp (in English) : Larp school specialized in higher education for witches and wizards from all over the world,https://www.meclarp.com/,270€,x,ven. 20 juil. 2018,Plus de 3 jours,Belgium,,"Castel Notre-Dame, Obsinnich 6, 3791 Fourons, Belgium"
Mahoutokoro,RAJR,"GN école de sorcellerie, traditions et croyances magiques japonaises. Rythme lent, non-dits, sous-entendus. Des échanges feutrés plutôt qu’une course à la résolution.",http://www.rajr.fr/mahoutokoro/,85€,x,ven. 20 juil. 2018,2 ou 3 jours,69,,"Gîte de Gros-Bois (Gîte d'Ouroux), 69860 Ouroux, France"
Where Androids Die,Independant,"International Larp (in English): a futuristic dystopian Larp about humanity, its creation and the consequences they have to face (inspiration: blade runner)",http://whereandroidsdie.net,163€,x,ven. 20 juil. 2018,2 ou 3 jours,Sweden,,"3:e Våningen, Sockerbruket 9, 414 51 Göteborg, Sweden"
On Location Session 2,On Location,"International Larp (in English) : It’s 1932. At Tarrington Manor, a peaceful British country house, a cast and crew are assembled for the making of the film ‘Stolen Moments’.",https://onlocationlarp.wordpress.com/practical/signup/,251€,x,ven. 20 juil. 2018,Plus de 3 jours,United Kingdom,,"The 1908 Lodge, 7–11 Elmhurst Road, Gosport, PO12 1PG, United Kingdom"
"Murder GN ""Battlestar Galactica : de Chair et de Sang"" - Session 6",Independant,"BSG, Murder",https://www.facebook.com/events/172289303579567,10€,x,sam. 21 juil. 2018,1 journée,94,,Ivry sur Seine
Les Légendes d'Assia : Crépuscule sur le Midland,Les Porteurs de Légendes,Un médieval fantastique pour 80 joueurs. L'univers se veut épique. ,http://www.assia-gn.fr,80€,35€,ven. 27 juil. 2018,2 ou 3 jours,49,,"Château de Serrant, 49170 Saint-Georges-sur-Loire, France"
Kelkalor V : L'Eveil,Les jeux de la Gehènne,Gn médiéval fantastique,https://www.facebook.com/events/373983139704256/,?,?,ven. 27 juil. 2018,2 ou 3 jours,49,,"Chevalerie de Sacé - Site Archéologique & Jardin Botanique, 1 rue du vieux logis, 49650 Brain-Sur-Allonnes, France"
Eldorado : La Mystérieuse Cité Dort,Alter Ego & Marcheurs sur Rêves & Krack'n'Loot,Horreur lovecraftienne,https://www.facebook.com/photo.php?fbid=1720901854607685&set=gm.10154832248451780&type=3&theater&ifg=1,65€,x,ven. 27 juil. 2018,2 ou 3 jours,55,,"Fort de Jouy-sous-les-côtes, Parc Naturel Régional de Lorraine, 55200 Geville, France"
Dead Zone Reloaded,Les Compagnons de l'Ouest,"GN contemporain horreur/survie ; BG perso écrits par l'orga, l'accent est mis sur le RP et les conflits entre joueurs",https://lescompagnonsdelouest.wordpress.com/info-pratiques/,70€,30€,ven. 27 juil. 2018,2 ou 3 jours,77,,"D96, 77166 Grisy-Suisnes, France"
Dead Zone Reloaded,Les Compagnons de l'Ouest,"Survie, horreur, zombies",https://lescompagnonsdelouest.wordpress.com/info-pratiques/,70€,30€,ven. 27 juil. 2018,2 ou 3 jours,77,,"Château de la Grange le Roi, 77166 Grisy-Suisnes, France"
VFC ARTEMIS Session 2,eXpérience,thriller psychologique battlestar galactica nordique,https://experiencegn.jimdo.com/nos-créations/artemis/,100€,x,sam. 28 juil. 2018,2 ou 3 jours,95,,"95572 Saint-Ouen l'Aumône, France"
La plume et le serpent (ou la revanche de Tlahuizcalpantecuhtli),Independant,"Vente aux enchères, 1900, une statuette porteuse de malédictions... Enquête, histoires de famille, amour, drame et bon public.",https://docs.google.com/forms/d/e/1FAIpQLSff_B2RS69hE-sqLisKo3r-jApsvL9QvPfCqcc8nj2eCLC0MQ/viewform?chromeless=1&edit_requested=true,12€,x,sam. 28 juil. 2018,Quelques heures,80,,proche de 80600 Doullens en Picardie
Pax Europa,SteamLarp,"International Larp (in English): steampunk LARP of International Politics, Personal Drama and Weird Science set in an Alternate Victorian Europe",http://steamlarp.com,56€,x,sam. 28 juil. 2018,1 journée,Australia,,"The Junction Hotel, 60 Annerley Rd, Annerley QLD 4103, Australia"
Contes de la Brume - GN La Forêt Sacrée de Tha Skar,La Compagnie Dro Lig,"Un grand nombre de forêts sacrées se trouvent sur le territoire Houzi. Selon les croyances de ces derniers, chaque arbre abrite l'esprit d'une personne défunte. ",https://www.facebook.com/events/2034577726864067/,80€,30€,dim. 29 juil. 2018,2 ou 3 jours,22,,"Gîte de Boconnec, 22110 Plouguernével, France"
ConQuest 2018,ConQuest of Mythodea,International Larp (in German and English): conquest 2018 5-tägiges selbstverpfleger-zelt-con august,https://www.facebook.com/145411559393068,150€,40€,mer. 1 août 2018,Plus de 3 jours,Germany,,"Rittergut Brokeloh, Rittergut Brokeloh 1, 31628 Landesbergen, Germany"
Mémoires de Nonamé,Les Joueurs de la Forge,GN médiéval fantastique,https://www.facebook.com/LesJoueursdelaForge/posts/469179780133272,?,?,ven. 3 août 2018,2 ou 3 jours,49,,"Chevalerie de Sacé - Site Archéologique & Jardin Botanique, 1 rue du vieux logis, 49650 Brain-Sur-Allonnes, France"
L'épice doit couler à flot ou Touche pas au Grisbi!,Les Chevaliers du Roi Pêcheur,Med-Fan tendance Dune,https://leschevaliersduroi.wixsite.com/touchepasaugrisbi,80€,?,ven. 3 août 2018,2 ou 3 jours,52,,"Fort du Cognelot (Fort Vercingetorix), 52600 Chalindrey, France"
"Proto GN ""Le Congrès de Tesien""",Créateurs D'univers,"thème diplomatique d’un “camp du Drap d’Or”, d’une Société Des Nations ou du Congrès de Vienne de 1814-1815.",https://www.facebook.com/events/581895722013168/,14€,x,sam. 4 août 2018,2 ou 3 jours,02,,"Abbaye Notre-Dame de Longpont, 2 Place de l'Abbaye, 02600 Longpont, France"
"GN Frida Kahlo ""Lo que el agua me dio"" Session 2",Rujha GN,"Jeu collaboratif, avec une approche expérimentale et romanesque dans l’entourage artistique et politique de Frida Kalho et Diego Rivera ",https://docs.google.com/forms/d/e/1FAIpQLSemmZqyShjzsT0xw2wsoVPGDWoKN70xxDvMTsESFcC9Rez5Kg/viewform,30€,x,sam. 4 août 2018,2 ou 3 jours,92,,"92600 Asnières-sur-Seine, France"
Les Échos des Limbes,La Châtellerie Nantaise,"Nous sommes en 2522, alors qu'Archaon, l'élu des dieux du Chaos, envahi le Vieux monde une seconde fois...",https://www.facebook.com/groups/908792249273233/,50€,35€,sam. 4 août 2018,2 ou 3 jours,49,,"Château de la Baronnière, La Chapelle-Saint-Florent, 49410 Mauges-sur-Loire, France"
Les Echos des Limbes,La Châtellerie Nantaise,Gn sur l'univers de Warhammer modifié à notre sauce.,https://www.facebook.com/groups/908792249273233/,50€,35€,sam. 4 août 2018,2 ou 3 jours,49410 France,,"Château de la Baronnière, La Chapelle-Saint-Florent, 49410 Mauges-sur-Loire, France"
GN La bataille de Haguenau,Le Consulat d’Elleslande,"Nous sommes en 1920. La guerre mondiale est toujours en cours, malgré plusieurs tentatives d'armistice. Accalmies et reprises encore plus violentes se succèdent...",https://www.facebook.com/permalink.php?story_fbid=448638188926277&id=448626885594074,45€,25€,sam. 4 août 2018,1 journée,31,,"31700 Cornebarrieu, France"
