Just a Little Lovin' Finland,Pohjoismaisen roolipelaamisen seura ry,International Larp (in English),http://www.jall.fi/,275€,x,mar. 5 juin 2018,More than 3 days,Finland,,"Länsi-suomen Opistoyhdistys Ry, Aino Voipion tie 30, 32700 Huittinen, Finland",
Windrose: School of the Secret Arts,Aspamia,International Larp (in English): Your chance to be a wizard or a witch in a magical college,https://www.facebook.com/events/1979771215601236/,?,?,jeu. 14 juin 2018,More than 3 days,Israel,,?,
Obscurus Cult,Obscurus NL,"International Larp (in English): Love, Worship, Obey. This is your chance! Experience brainwashing! By a cult! ",https://obscuruscult.wordpress.com,280€,x,mar. 19 juin 2018,More than 3 days,Netherlands,,"V.O.F. De Lindenhorst, Schiphorsterweg 15, 7966 AB De Schiphorst, Netherlands",
New World Magischola,LearnLarp,International Larp (in English): 4-day wizard school larp set in the Magimundi of North America. NWM is a progressive wizard school with less-traditional policies.,www.magischola.com,$625,0€,jeu. 21 juin 2018,More than 3 days,United States,,"Mt. Holyoke College; 50 College St, South Hadley, MA 01075",
human experience,human experience,"International Larp (in English): “Human Experience” is a physical, immersive larp about the sensations we get from movements, touch and senses.",https://www.humanexperience.events,28€,28€,jeu. 21 juin 2018,A few hours,United Kingdom,,London,
Obscurus Cult,Obscurus NL,"International Larp (in English): Love, Worship, Obey. This is your chance! Experience brainwashing! By a cult! ",https://obscuruscult.wordpress.com,280€,x,mar. 26 juin 2018,More than 3 days,Netherlands,,"V.O.F. De Lindenhorst, Schiphorsterweg 15, 7966 AB De Schiphorst, Netherlands",
human experience,human experience,"International Larp (in English): “Human Experience” is a physical, immersive larp about the sensations we get from movements, touch and senses.",https://www.humanexperience.events,40€,40€,sam. 30 juin 2018,A few hours,United Kingdom,,London,
Club Oasis,Independant,International Larp (in English): a blade runner Larp following Where Androids Dream,https://docs.google.com/forms/d/e/1FAIpQLSfzxED4y1pErRwNowSLeKVTEcOQHZynnO8aOsjPYZp68gVOjQ/viewform?edit_requested=true,20€,x,mer. 11 juil. 2018,A few hours,Sweden,,Club Oasis,
Where Androids Die,Independant,"International Larp (in English): a futuristic dystopian Larp about humanity, its creation and the consequences they have to face (inspiration: blade runner)",http://whereandroidsdie.net,163€,x,ven. 13 juil. 2018,2 to 3 days,Sweden,,"3:e Våningen, Sockerbruket 9, 414 51 Göteborg, Sweden",
Club Oasis,Independant,International Larp (in English): a blade runner Larp following Where Androids Dream,https://docs.google.com/forms/d/e/1FAIpQLSfzxED4y1pErRwNowSLeKVTEcOQHZynnO8aOsjPYZp68gVOjQ/viewform?edit_requested=true,20€,x,mer. 18 juil. 2018,A few hours,Sweden,,Club Oasis,
Myrddin Emrys College,NPO Out of this World,International Larp (in English) : Larp school specialized in higher education for witches and wizards from all over the world,https://www.meclarp.com/,270€,x,ven. 20 juil. 2018,More than 3 days,Belgium,,"Castel Notre-Dame, Obsinnich 6, 3791 Fourons, Belgium",
Where Androids Die,Independant,"International Larp (in English): a futuristic dystopian Larp about humanity, its creation and the consequences they have to face (inspiration: blade runner)",http://whereandroidsdie.net,163€,x,ven. 20 juil. 2018,2 to 3 days,Sweden,,"3:e Våningen, Sockerbruket 9, 414 51 Göteborg, Sweden",
